PacketDropQueue Network.nodeTx.TrTx (#0 - General-0-20230516-07:13:25-15547),,PacketDropQueue Network.queue_0 (#0 - General-0-20230516-07:13:25-15547),,PacketDropQueue Network.queue_1 (#0 - General-0-20230516-07:13:25-15547),,PacketDropQueue Network.nodeRx.TrRx (#0 - General-0-20230516-07:13:25-15547),,PacketGen Network.nodeTx.gen (#0 - General-0-20230516-07:13:25-15547),,BufferSizeQueue Network.nodeTx.TrTx (#0 - General-0-20230516-07:13:25-15547),,BufferSizeQueue Network.queue_0 (#0 - General-0-20230516-07:13:25-15547),,BufferSizeQueue Network.nodeRx.TrRx (#0 - General-0-20230516-07:13:25-15547),,Delay Network.nodeRx.sink (#0 - General-0-20230516-07:13:25-15547),,PacketUsed Network.nodeRx.sink (#0 - General-0-20230516-07:13:25-15547),,BufferSizeQueue Network.queue_1 (#0 - General-0-20230516-07:13:25-15547),
0,0,0,0,0,0,0,0,0.079587450457,1,0.079587450457,1,0.179687450457,1,0.379787450457,1,0.479787450457,0.4002,0.479787450457,1,34.380527450457,1
,,,,,,,,0.169443489305,2,0.169443489305,1,0.279687450457,1,0.579787450457,1,0.679787450457,0.510343961151999979,0.679787450457,1,,
,,,,,,,,0.29503656511,3,0.29503656511,1,0.39513656511,1,0.779787450457,1,0.879787450457,0.584750885347000036,0.879787450457,1,,
,,,,,,,,0.480996986317,4,0.480996986317,1,0.581096986317,1,0.979787450457,1,1.079787450457,0.59879046413999992,1.079787450457,1,,
,,,,,,,,0.573319299464,5,0.573319299464,1,0.681096986317,2,1.179787450457,1,1.279787450457,0.706468150992999973,1.279787450457,1,,
,,,,,,,,0.768473833052,6,0.768473833052,1,0.868573833052,2,1.379787450457,1,1.479787450457,0.711313617404999873,1.479787450457,1,,
,,,,,,,,0.84719394705,7,0.84719394705,1,0.968573833052,3,1.579787450457,1,1.679787450457,0.832593503406999998,1.679787450457,1,,
,,,,,,,,1.03509035247,8,1.03509035247,1,1.13519035247,3,1.779787450457,1,1.879787450457,0.844697097986999875,1.879787450457,1,,
,,,,,,,,1.090195201137,9,1.090195201137,1,1.23519035247,3,1.979787450457,1,2.079787450457,0.98959224932,2.079787450457,1,,
,,,,,,,,1.187895843776,10,1.187895843776,1,1.33519035247,4,2.179787450457,1,2.279787450457,1.091891606681000045,2.279787450457,1,,
,,,,,,,,1.291711773842,11,1.291711773842,1,1.43519035247,4,2.379787450457,1,2.479787450457,1.188075676615000015,2.479787450457,1,,
,,,,,,,,1.340224590214,12,1.340224590214,1,1.53519035247,5,2.579787450457,1,2.679787450457,1.33956286024299986,2.679787450457,1,,
,,,,,,,,1.397776509902,13,1.397776509902,2,1.63519035247,5,2.779787450457,1,2.879787450457,1.482010940554999928,2.879787450457,1,,
,,,,,,,,1.433092423816,14,1.433092423816,3,1.73519035247,6,2.979787450457,1,3.079787450457,1.646695026640999863,3.079787450457,1,,
,,,,,,,,1.65544486602,15,1.65544486602,1,1.83519035247,6,3.179787450457,1,3.279787450457,1.624342584437000075,3.279787450457,1,,
,,,,,,,,1.661283332929,16,1.661283332929,2,1.93519035247,7,3.379787450457,1,3.479787450457,1.818504117527999666,3.479787450457,1,,
,,,,,,,,1.992774560922,17,1.992774560922,1,2.092874560922,7,3.579787450457,1,3.679787450457,1.687012889535000053,3.679787450457,1,,
,,,,,,,,2.024610175006,18,2.024610175006,1,2.192874560922,7,3.779787450457,1,3.879787450457,1.855177275451000077,3.879787450457,1,,
,,,,,,,,2.072970385501,19,2.072970385501,2,2.292874560922,8,3.979787450457,1,4.079787450457,2.006817064955999533,4.079787450457,1,,
,,,,,,,,2.137915020326,20,2.137915020326,2,2.392874560922,8,4.179787450457,1,4.279787450457,2.141872430130999472,4.279787450457,1,,
,,,,,,,,2.294804632088,21,2.294804632088,1,2.492874560922,9,4.379787450457,1,4.479787450457,2.184982818368999871,4.479787450457,1,,
,,,,,,,,2.46202575212,22,2.46202575212,1,2.592874560922,9,4.579787450457,1,4.679787450457,2.217761698337000093,4.679787450457,1,,
,,,,,,,,2.537293163451,23,2.537293163451,1,2.692874560922,10,4.779787450457,1,4.879787450457,2.3424942870059997,4.879787450457,1,,
,,,,,,,,2.602681420173,24,2.602681420173,1,2.792874560922,10,4.979787450457,1,5.079787450457,2.477106030283999327,5.079787450457,1,,
,,,,,,,,2.686624705463,25,2.686624705463,2,2.892874560922,11,5.179787450457,1,5.279787450457,2.593162744993999337,5.279787450457,1,,
,,,,,,,,2.736511906365,26,2.736511906365,2,2.992874560922,11,5.379787450457,1,5.479787450457,2.743275544091999572,5.479787450457,1,,
,,,,,,,,2.99633731495,27,2.99633731495,1,3.09643731495,12,5.579787450457,1,5.679787450457,2.683450135506999945,5.679787450457,1,,
,,,,,,,,3.177174241377,28,3.177174241377,1,3.277274241377,12,5.779787450457,1,5.879787450457,2.7026132090799999,5.879787450457,1,,
,,,,,,,,3.184542776924,29,3.184542776924,1,3.377274241377,13,5.979787450457,1,6.079787450457,2.895244673532999952,6.079787450457,1,,
,,,,,,,,3.225700576548,30,3.225700576548,2,3.477274241377,13,6.179787450457,1,6.279787450457,3.054086873909000125,6.279787450457,1,,
,,,,,,,,3.23481667916,31,3.23481667916,3,3.577274241377,14,6.379787450457,1,6.479787450457,3.244970771296999942,6.479787450457,1,,
,,,,,,,,3.339277929991,32,3.339277929991,3,3.677274241377,14,6.579787450457,1,6.679787450457,3.340509520466000015,6.679787450457,1,,
,,,,,,,,3.341320488831,33,3.341320488831,4,3.777274241377,15,6.779787450457,1,6.879787450457,3.538466961625999817,6.879787450457,1,,
,,,,,,,,3.387245302557,34,3.387245302557,4,3.877274241377,15,6.979787450457,1,7.079787450457,3.69254214789999933,7.079787450457,1,,
,,,,,,,,3.565994068901,35,3.565994068901,4,3.977274241377,16,7.179787450457,1,7.279787450457,3.713793381556000017,7.279787450457,1,,
,,,,,,,,3.881011061769,36,3.881011061769,1,4.077274241377,16,7.379787450457,1,7.479787450457,3.59877638868799997,7.479787450457,1,,
,,,,,,,,4.031589487633,37,4.031589487633,1,4.177274241377,17,7.579787450457,1,7.679787450457,3.648197962823999757,7.679787450457,1,,
,,,,,,,,4.046712572999,38,4.046712572999,2,4.277274241377,17,7.779787450457,1,7.879787450457,3.833074877457999452,7.879787450457,1,,
,,,,,,,,4.250743998793,39,4.250743998793,1,4.377274241377,18,7.979787450457,1,8.079787450457,3.82904345166399994,8.079787450457,1,,
,,,,,,,,4.454833220384,40,4.454833220384,1,4.554933220384,18,8.179787450457,1,8.279787450457,3.824954230072999707,8.279787450457,1,,
,,,,,,,,4.839355407298,41,4.839355407298,1,4.939455407298,17,8.379787450457,1,8.479787450457,3.640432043158999577,8.479787450457,1,,
,,,,,,,,4.903526324566,42,4.903526324566,1,5.039455407298,17,8.579787450457,1,8.679787450457,3.776261125890999695,8.679787450457,1,,
,,,,,,,,5.064050280272,43,5.064050280272,1,5.164150280272,18,8.779787450457,1,8.879787450457,3.815737170184999787,8.879787450457,1,,
,,,,,,,,5.225450487761,44,5.225450487761,1,5.325550487761,18,8.979787450457,1,9.079787450457,3.85433696269599933,9.079787450457,1,,
,,,,,,,,5.287343433724,45,5.287343433724,1,5.425550487761,18,9.179787450457,1,9.279787450457,3.99244401673299974,9.279787450457,1,,
,,,,,,,,5.360839875843,46,5.360839875843,1,5.525550487761,19,9.379787450457,1,9.479787450457,4.118947574613999392,9.479787450457,1,,
,,,,,,,,5.512493473242,47,5.512493473242,1,5.625550487761,19,9.579787450457,1,9.679787450457,4.16729397721499949,9.679787450457,1,,
,,,,,,,,5.626087367413,48,5.626087367413,1,5.726187367413,20,9.779787450457,1,9.879787450457,4.253700083044000352,9.879787450457,1,,
,,,,,,,,5.638674808357,49,5.638674808357,1,5.826187367413,20,9.979787450457,1,10.079787450457,4.441112642100000207,10.079787450457,1,,
,,,,,,,,5.766197578579,50,5.766197578579,1,5.926187367413,21,10.179787450457,1,10.279787450457,4.51358987187799875,10.279787450457,1,,
,,,,,,,,5.868340766014,51,5.868340766014,1,6.026187367413,21,10.379787450457,1,10.479787450457,4.61144668444299908,10.479787450457,1,,
,,,,,,,,5.955572885518,52,5.955572885518,1,6.126187367413,22,10.579787450457,1,10.679787450457,4.72421456493900036,10.679787450457,1,,
,,,,,,,,5.971045853568,53,5.971045853568,2,6.226187367413,22,10.779787450457,1,10.879787450457,4.90874159688899956,10.879787450457,1,,
,,,,,,,,6.048129319415,54,6.048129319415,2,6.326187367413,23,10.979787450457,1,11.079787450457,5.03165813104199875,11.079787450457,1,,
,,,,,,,,6.337571367214,55,6.337571367214,1,6.437671367214,23,11.179787450457,1,11.279787450457,4.942216083243000195,11.279787450457,1,,
,,,,,,,,6.479707835223,56,6.479707835223,1,6.579807835223,23,11.379787450457,1,11.479787450457,5.000079615234000105,11.479787450457,1,,
,,,,,,,,6.553490564399,57,6.553490564399,1,6.679807835223,24,11.579787450457,1,11.679787450457,5.126296886058000255,11.679787450457,1,,
,,,,,,,,6.564685180462,58,6.564685180462,2,6.779807835223,24,11.779787450457,1,11.879787450457,5.315102269995000105,11.879787450457,1,,
,,,,,,,,6.618241752485,59,6.618241752485,2,6.879807835223,25,11.979787450457,1,12.079787450457,5.46154569797199938,12.079787450457,1,,
,,,,,,,,6.682411222688,60,6.682411222688,2,6.979807835223,25,12.179787450457,1,12.279787450457,5.597376227768998865,12.279787450457,1,,
,,,,,,,,6.713139257903,61,6.713139257903,3,7.079807835223,26,12.379787450457,1,12.479787450457,5.76664819255399938,12.479787450457,1,,
,,,,,,,,6.733759586106,62,6.733759586106,4,7.179807835223,26,12.579787450457,1,12.679787450457,5.946027864350998705,12.679787450457,1,,
,,,,,,,,6.882585068681,63,6.882585068681,3,7.279807835223,27,12.779787450457,1,12.879787450457,5.997202381775998935,12.879787450457,1,,
,,,,,,,,7.016114087143,64,7.016114087143,3,7.379807835223,27,12.979787450457,1,13.079787450457,6.06367336331399895,13.079787450457,1,,
,,,,,,,,7.077022329461,65,7.077022329461,4,7.479807835223,28,13.179787450457,1,13.279787450457,6.20276512099600016,13.279787450457,1,,
,,,,,,,,7.101427178535,66,7.101427178535,4,7.579807835223,28,13.379787450457,1,13.479787450457,6.378360271922000255,13.479787450457,1,,
,,,,,,,,7.185460649096,67,7.185460649096,4,7.679807835223,29,13.579787450457,1,13.679787450457,6.4943268013609998,13.679787450457,1,,
,,,,,,,,7.199988451825,68,7.199988451825,5,7.779807835223,29,13.779787450457,1,13.879787450457,6.67979899863200008,13.879787450457,1,,
,,,,,,,,7.201885308745,69,7.201885308745,6,7.879807835223,30,13.979787450457,1,14.079787450457,6.87790214171199918,14.079787450457,1,,
,,,,,,,,7.241062389813,70,7.241062389813,7,7.979807835223,30,14.179787450457,1,14.279787450457,7.038725060643999475,14.279787450457,1,,
,,,,,,,,7.33720048372,71,7.33720048372,7,8.079807835223,31,14.379787450457,1,14.479787450457,7.142586966736999415,14.479787450457,1,,
,,,,,,,,7.353414132665,72,7.353414132665,8,8.179807835223,31,14.579787450457,1,14.679787450457,7.326373317791999155,14.679787450457,1,,
,,,,,,,,7.448113800382,73,7.448113800382,8,8.279807835223,32,14.779787450457,1,14.879787450457,7.431673650075,14.879787450457,1,,
,,,,,,,,7.473257993589,74,7.473257993589,9,8.379807835223,32,14.979787450457,1,15.079787450457,7.606529456867999485,15.079787450457,1,,
,,,,,,,,7.569212791326,75,7.569212791326,9,8.479807835223,33,15.179787450457,1,15.279787450457,7.710574659130999785,15.279787450457,1,,
,,,,,,,,7.618068496257,76,7.618068496257,9,8.579807835223,33,15.379787450457,1,15.479787450457,7.861718954199998735,15.479787450457,1,,
,,,,,,,,7.905859998385,77,7.905859998385,7,8.679807835223,34,15.579787450457,1,15.679787450457,7.773927452071999825,15.679787450457,1,,
,,,,,,,,8.138751335806,78,8.138751335806,6,8.779807835223,34,15.779787450457,1,15.879787450457,7.741036114650999135,15.879787450457,1,,
,,,,,,,,8.253265231276,79,8.253265231276,6,8.879807835223,35,15.979787450457,1,16.079787450457,7.82652221918099929,16.079787450457,1,,
,,,,,,,,8.313039838958,80,8.313039838958,6,8.979807835223,35,16.179787450457,1,16.279787450457,7.966747611498998755,16.279787450457,1,,
,,,,,,,,8.357591688463,81,8.357591688463,7,9.079807835223,36,16.379787450457,1,16.479787450457,8.122195761993999925,16.479787450457,1,,
,,,,,,,,8.452541146813,82,8.452541146813,7,9.179807835223,36,16.579787450457,1,16.679787450457,8.227246303643997965,16.679787450457,1,,
,,,,,,,,8.509994387487,83,8.509994387487,7,9.279807835223,37,16.779787450457,1,16.879787450457,8.36979306297000033,16.879787450457,1,,
,,,,,,,,8.742629493656,84,8.742629493656,6,9.379807835223,37,16.979787450457,1,17.079787450457,8.33715795680100055,17.079787450457,1,,
,,,,,,,,8.862240273602,85,8.862240273602,6,9.479807835223,38,17.179787450457,1,17.279787450457,8.417547176854998955,17.279787450457,1,,
,,,,,,,,8.87269639618,86,8.87269639618,7,9.579807835223,38,17.379787450457,1,17.479787450457,8.60709105427699935,17.479787450457,1,,
,,,,,,,,8.878907925227,87,8.878907925227,8,9.679807835223,39,17.579787450457,1,17.679787450457,8.800879525229998235,17.679787450457,1,,
,,,,,,,,9.228929293672,88,9.228929293672,5,9.779807835223,39,17.779787450457,1,17.879787450457,8.650858156784998655,17.879787450457,1,,
,,,,,,,,9.338820540427,89,9.338820540427,5,9.879807835223,40,17.979787450457,1,18.079787450457,8.740966910030000005,18.079787450457,1,,
,,,,,,,,9.444703953576,90,9.444703953576,5,9.979807835223,40,18.179787450457,1,18.279787450457,8.835083496880997675,18.279787450457,1,,
,,,,,,,,9.555763698145,91,9.555763698145,5,10.079807835223,41,18.379787450457,1,18.479787450457,8.92402375231199936,18.479787450457,1,,
,,,,,,,,9.574506304747,92,9.574506304747,6,10.179807835223,41,18.579787450457,1,18.679787450457,9.105281145709998415,18.679787450457,1,,
,,,,,,,,9.598126975355,93,9.598126975355,6,10.279807835223,42,18.779787450457,1,18.879787450457,9.28166047510200085,18.879787450457,1,,
,,,,,,,,9.642467378217,94,9.642467378217,7,10.379807835223,42,18.979787450457,1,19.079787450457,9.43732007223999853,19.079787450457,1,,
,,,,,,,,9.65627024706,95,9.65627024706,8,10.479807835223,43,19.179787450457,1,19.279787450457,9.62351720339700019,19.279787450457,1,,
,,,,,,,,9.795174516039,96,9.795174516039,7,10.579807835223,43,19.379787450457,1,19.479787450457,9.68461293441799848,19.479787450457,1,,
,,,,,,,,9.833070712467,97,9.833070712467,8,10.679807835223,44,19.579787450457,1,19.679787450457,9.84671673799000042,19.679787450457,1,,
,,,,,,,,9.926676868444,98,9.926676868444,8,10.779807835223,44,19.779787450457,1,19.879787450457,9.9531105820130001,19.879787450457,1,,
,,,,,,,,9.971887074466,99,9.971887074466,9,10.879807835223,45,19.979787450457,1,20.079787450457,10.10790037599100085,20.079787450457,1,,
